name,bbox,score,order_pre,order_final
places_obj_2_pasture_00002350.jpg,"[255, 0, 664, 409]",0,0,0
places_obj_2_pasture_00002350.jpg,"[0, 0, 512, 512]",0,0,0
places_obj_2_pasture_00002350.jpg,"[376, 0, 683, 307]",1,2,0
places_obj_2_pasture_00002350.jpg,"[306, 51, 613, 358]",2,1,3
places_obj_2_pasture_00002350.jpg,"[148, 5, 557, 414]",0,0,0
places_obj_2_pasture_00002350.jpg,"[227, 94, 636, 503]",0,0,0
places_obj_2_pasture_00002350.jpg,"[0, 0, 682, 512]",1,2,0
places_obj_2_pasture_00002350.jpg,"[255, 51, 664, 358]",4,1,1
places_obj_2_pasture_00002350.jpg,"[51, 102, 460, 409]",0,0,0
places_obj_2_pasture_00002350.jpg,"[169, 101, 647, 459]",0,0,0
places_obj_2_pasture_00002350.jpg,"[53, 24, 462, 330]",0,0,0
places_obj_2_pasture_00002350.jpg,"[68, 174, 477, 480]",0,0,0
places_obj_2_pasture_00002350.jpg,"[299, 0, 683, 512]",1,3,0
places_obj_2_pasture_00002350.jpg,"[453, 0, 683, 307]",1,2,0
places_obj_2_pasture_00002350.jpg,"[0, 51, 307, 460]",0,0,0
places_obj_2_pasture_00002350.jpg,"[118, 20, 486, 510]",0,0,0
places_obj_2_pasture_00002350.jpg,"[212, 2, 580, 492]",0,0,0
places_obj_2_pasture_00002350.jpg,"[28, 6, 396, 496]",0,0,0
places_obj_2_pasture_00002350.jpg,"[0, 0, 683, 384]",1,4,0
places_obj_2_pasture_00002350.jpg,"[0, 102, 683, 486]",0,0,0
places_obj_2_pasture_00002350.jpg,"[274, 51, 683, 281]",3,3,2
places_obj_2_pasture_00002350.jpg,"[255, 0, 664, 230]",1,5,0
places_obj_2_pasture_00002350.jpg,"[195, 205, 604, 435]",0,0,0
places_obj_2_pasture_00002350.jpg,"[42, 215, 451, 445]",0,0,0
k40k_obj_1_farm6_5148_5634547486_013fcc9dd6.jpg,"[148, 0, 448, 300]",1,3,0
k40k_obj_1_farm6_5148_5634547486_013fcc9dd6.jpg,"[148, 37, 373, 262]",4,2,1
k40k_obj_1_farm6_5148_5634547486_013fcc9dd6.jpg,"[37, 37, 337, 337]",0,0,0
k40k_obj_1_farm6_5148_5634547486_013fcc9dd6.jpg,"[185, 58, 485, 358]",0,0,0
