name,bbox,score,order_pre,order_final
ava_obj_3_800907.jpg,"[0, 0, 459, 460]",1,1,0
ava_obj_3_800907.jpg,"[0, 46, 276, 322]",0,0,0
ava_obj_3_800907.jpg,"[230, 0, 689, 460]",0,0,0
ava_obj_3_800907.jpg,"[352, 92, 720, 460]",0,0,0
ava_obj_3_800907.jpg,"[114, 24, 546, 456]",1,2,0
ava_obj_3_800907.jpg,"[177, 5, 609, 437]",0,0,0
ava_obj_3_800907.jpg,"[0, 46, 490, 414]",4,1,1
ava_obj_3_800907.jpg,"[0, 46, 368, 322]",0,0,0
ava_obj_3_800907.jpg,"[92, 0, 705, 460]",0,0,0
ava_obj_3_800907.jpg,"[352, 46, 720, 322]",0,0,0
ava_obj_3_800907.jpg,"[184, 46, 552, 322]",0,0,0
ava_obj_3_800907.jpg,"[133, 100, 565, 424]",1,2,0
ava_obj_3_800907.jpg,"[0, 0, 345, 460]",1,1,0
ava_obj_3_800907.jpg,"[322, 0, 667, 460]",0,0,0
ava_obj_3_800907.jpg,"[138, 0, 483, 460]",1,2,0
ava_obj_3_800907.jpg,"[0, 46, 206, 322]",0,0,0
ava_obj_3_800907.jpg,"[92, 0, 368, 368]",0,0,0
ava_obj_3_800907.jpg,"[230, 39, 544, 457]",0,0,0
ava_obj_3_800907.jpg,"[0, 46, 432, 289]",0,0,0
ava_obj_3_800907.jpg,"[0, 55, 720, 460]",3,1,2
ava_obj_3_800907.jpg,"[0, 0, 576, 324]",0,0,0
ava_obj_3_800907.jpg,"[276, 217, 708, 460]",0,0,0
ava_obj_3_800907.jpg,"[246, 39, 678, 282]",0,0,0
ava_obj_3_800907.jpg,"[96, 130, 528, 373]",2,2,3
ava_obj_0_666634.jpg,"[84, 84, 425, 425]",1,2,0
ava_obj_0_666634.jpg,"[126, 0, 552, 427]",0,0,0
ava_obj_0_666634.jpg,"[294, 84, 635, 425]",0,0,0
ava_obj_0_666634.jpg,"[126, 168, 382, 424]",4,2,1
ava_obj_0_666634.jpg,"[0, 0, 341, 341]",0,0,0
ava_obj_0_666634.jpg,"[231, 5, 615, 389]",0,0,0
ava_obj_0_666634.jpg,"[0, 0, 569, 427]",0,0,0
ava_obj_0_666634.jpg,"[84, 126, 425, 382]",3,1,2
ava_obj_0_666634.jpg,"[42, 84, 383, 340]",0,0,0
ava_obj_0_666634.jpg,"[42, 168, 383, 424]",1,2,0
ava_obj_0_666634.jpg,"[299, 168, 640, 424]",0,0,0
ava_obj_0_666634.jpg,"[155, 112, 539, 400]",0,0,0
ava_obj_0_666634.jpg,"[126, 0, 446, 427]",1,2,0
ava_obj_0_666634.jpg,"[0, 0, 320, 427]",1,2,0
ava_obj_0_666634.jpg,"[84, 84, 340, 425]",0,0,0
ava_obj_0_666634.jpg,"[252, 171, 444, 427]",0,0,0
ava_obj_0_666634.jpg,"[210, 0, 530, 427]",0,0,0
ava_obj_0_666634.jpg,"[308, 3, 619, 417]",0,0,0
ava_obj_0_666634.jpg,"[84, 126, 596, 414]",1,2,0
ava_obj_0_666634.jpg,"[0, 0, 640, 360]",0,0,0
ava_obj_0_666634.jpg,"[0, 126, 384, 342]",0,0,0
ava_obj_0_666634.jpg,"[42, 168, 426, 384]",2,1,3
ava_obj_0_666634.jpg,"[83, 89, 467, 305]",0,0,0
ava_obj_0_666634.jpg,"[250, 163, 634, 379]",0,0,0
places_obj_1_bamboo_forest_00001110.jpg,"[0, 0, 512, 512]",3,1,2
places_obj_1_bamboo_forest_00001110.jpg,"[0, 51, 307, 358]",0,0,0
