name,bbox,score,order_pre,order_final
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[132, 0, 465, 333]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[33, 66, 299, 332]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[231, 134, 430, 333]",1,2,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[99, 33, 365, 299]",1,1,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[7, 1, 307, 301]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[191, 24, 491, 324]",1,3,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[33, 0, 477, 333]",1,3,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[198, 132, 464, 331]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[33, 134, 299, 333]",1,2,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[145, 33, 500, 299]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[165, 99, 431, 298]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[70, 96, 370, 321]",1,1,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[198, 0, 447, 333]",1,3,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[33, 0, 282, 333]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[165, 67, 364, 333]",1,1,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[264, 66, 463, 332]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[231, 134, 380, 333]",0,0,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[101, 8, 344, 332]",1,2,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[66, 108, 466, 333]",1,5,0
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[165, 165, 465, 333]",3,1,2
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[33, 66, 433, 291]",2,3,3
k40k_obj_0_farm7_6019_6257107225_3256f4fec4.jpg,"[0, 0, 500, 281]",4,4,1
