name,bbox,score,order_pre,order_final
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[99, 66, 365, 332]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[132, 0, 465, 333]",1,1,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[0, 0, 333, 333]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[165, 66, 364, 265]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[79, 1, 379, 301]",1,2,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[199, 17, 499, 317]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[99, 66, 454, 332]",1,1,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[0, 33, 355, 299]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[99, 66, 365, 265]",1,2,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[132, 99, 398, 298]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[115, 16, 415, 241]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[32, 103, 332, 328]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[132, 0, 381, 333]",2,1,3
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[66, 0, 315, 333]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[165, 66, 314, 265]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[198, 66, 397, 332]",4,2,1
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[221, 2, 464, 326]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[6, 5, 249, 329]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[33, 66, 433, 291]",3,2,2
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[0, 0, 500, 281]",1,1,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[99, 66, 399, 234]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[30, 2, 330, 170]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[166, 56, 466, 224]",0,0,0
k40k_obj_3_farm1_148_389034449_9249b4cef3.jpg,"[181, 6, 481, 174]",0,0,0
ava_obj_0_722819.jpg,"[0, 126, 427, 553]",1,1,0
ava_obj_0_722819.jpg,"[42, 84, 383, 425]",0,0,0
ava_obj_0_722819.jpg,"[42, 168, 298, 424]",1,2,0
ava_obj_0_722819.jpg,"[0, 84, 256, 340]",0,0,0
ava_obj_0_722819.jpg,"[109, 293, 407, 591]",0,0,0
ava_obj_0_722819.jpg,"[47, 35, 303, 291]",0,0,0
ava_obj_0_722819.jpg,"[0, 168, 427, 488]",3,1,2
ava_obj_0_722819.jpg,"[0, 84, 427, 404]",0,0,0
ava_obj_0_722819.jpg,"[0, 0, 427, 320]",0,0,0
ava_obj_0_722819.jpg,"[42, 252, 383, 508]",1,2,0
ava_obj_0_722819.jpg,"[113, 158, 411, 381]",0,0,0
ava_obj_0_722819.jpg,"[13, 166, 269, 358]",0,0,0
ava_obj_0_722819.jpg,"[0, 84, 341, 539]",0,0,0
